"","node","activation","time"
"1","a",0,1
"2","aardvark",0,1
"3","aback",0,1
"4","abacus",0,1
"5","abaft",0,1
"6","abalone",0,1
"7","abandon",0,1
"8","abase",0,1
"9","abash",0,1
"10","abate",0,1
"11","abatis",0,1
"12","abattoir",0,1
"13","abbacy",0,1
"14","abbe",0,1
"15","abbess",0,1
"16","abbey",0,1
"17","abbot",0,1
"18","abbreviate",0,1
"19","abbreviation",0,1
"20","abdicate",0,1
"21","abdication",0,1
"22","abdomen",0,1
"23","abdominal",0,1
"24","abduct",0,1
"25","abeam",0,1
"26","abecedarian",0,1
"27","abed",0,1
"28","aberrant",0,1
"29","aberration",0,1
"30","abet",0,1
"31","abeyance",0,1
"32","abhor",0,1
"33","abide",0,1
"34","ability",0,1
"35","abject",0,1
"36","abjection",0,1
"37","abjectly",0,1
"38","abjuration",0,1
"39","abjure",0,1
"40","ablate",0,1
"41","ablative",0,1
"42","ablaze",0,1
"43","able",0,1
"44","abloom",0,1
"45","ablution",0,1
"46","abnegate",0,1
"47","abnegation",0,1
"48","abnormal",0,1
"49","abnormality",0,1
"50","abnormally",0,1
"51","aboard",0,1
"52","abode",0,1
"53","abolish",0,1
"54","abolition",0,1
"55","abolitionist",0,1
"56","abominable",0,1
"57","abominate",0,1
"58","aboriginal",0,1
"59","aborigine",0,1
"60","aborning",0,1
"61","abortion",0,1
"62","abound",0,1
"63","about",0,1
"64","above",0,1
"65","abracadabra",0,1
"66","abrade",0,1
"67","abrasive",0,1
"68","abreast",0,1
"69","abridge",0,1
"70","abroad",0,1
"71","abrogate",0,1
"72","abrogation",0,1
"73","abrupt",0,1
"74","abscess",0,1
"75","abscound",0,1
"76","absence",0,1
"77","absent",0,1
"78","absentee",0,1
"79","absentminded",0,1
"80","absinthe",0,1
"81","absolute",0,1
"82","absolutely",0,1
"83","absolution",0,1
"84","absolutism",0,1
"85","absolve",0,1
"86","absorb",0,1
"87","abstain",0,1
"88","abstemious",0,1
"89","abstinence",0,1
"90","abstract",0,1
"91","abstraction",0,1
"92","abstracts",0,1
"93","abstruse",0,1
"94","absurd",0,1
"95","abundant",0,1
"96","abuse",0,1
"97","abut",0,1
"98","abuttals",0,1
"99","abysm",0,1
"100","abysmal",0,1
"101","abyss",0,1
"102","acacia",0,1
"103","academe",0,1
"104","academic",0,1
"105","academician",0,1
"106","academicism",0,1
"107","academy",0,1
"108","acanthus",0,1
"109","accede",0,1
"110","accelerando",0,1
"111","accelerate",0,1
"112","accent",0,1
"113","accentual",0,1
"114","accentuate",0,1
"115","accept",0,1
"116","acceptance",0,1
"117","acceptation",0,1
"118","access",0,1
"119","accessible",0,1
"120","accession",0,1
"121","accessory",0,1
"122","accidence",0,1
"123","accident",0,1
"124","accidental",0,1
"125","acclaim",0,1
"126","acclamation",0,1
"127","acclimate",0,1
"128","acclimatize",0,1
"129","acclivity",0,1
"130","accolade",0,1
"131","accommodate",0,1
"132","accommodation",0,1
"133","accompaniment",0,1
"134","accomplice",0,1
"135","accomplish",0,1
"136","accord",0,1
"137","accordance",0,1
"138","accordion",0,1
"139","accost",0,1
"140","account",0,1
"141","accountant",0,1
"142","accoutre",0,1
"143","accredit",0,1
"144","accretion",0,1
"145","accrue",0,1
"146","acculturation",0,1
"147","accumulate",0,1
"148","accuracy",0,1
"149","accurate",0,1
"150","accursed",0,1
"151","accusal",0,1
"152","accusation",0,1
"153","accusative",0,1
"154","accuse",0,1
"155","accuser",0,1
"156","accustom",0,1
"157","ace",0,1
"158","acerb",0,1
"159","acerbity",0,1
"160","acetanilide",0,1
"161","acetate",0,1
"162","acetic",0,1
"163","acetone",0,1
"164","acetylene",0,1
"165","ache",0,1
"166","achieve",0,1
"167","achromatic",0,1
"168","acid",0,1
"169","acidic",0,1
"170","acidity",0,1
"171","acidosis",0,1
"172","acidulous",0,1
"173","acknowledge",0,1
"174","acme",0,1
"175","acne",0,1
"176","acolyte",0,1
"177","aconite",0,1
"178","acorn",0,1
"179","acoustic",0,1
"180","acquaint",0,1
"181","acquiesce",0,1
"182","acquire",0,1
"183","acquisition",0,1
"184","acquisitive",0,1
"185","acquit",0,1
"186","acre",0,1
"187","acreage",0,1
"188","acrid",0,1
"189","acridity",0,1
"190","acrimonious",0,1
"191","acrimony",0,1
"192","acrobat",0,1
"193","acrobatic",0,1
"194","acrobatics",0,1
"195","acronym",0,1
"196","acrophobia",0,1
"197","acropolis",0,1
"198","across",0,1
"199","acrostic",0,1
"200","act",0,1
"201","actinic",0,1
"202","actinium",0,1
"203","action",0,1
"204","activate",0,1
"205","active",0,1
"206","activity",0,1
"207","actor",0,1
"208","actual",0,1
"209","actuality",0,1
"210","actually",0,1
"211","actuarial",0,1
"212","actuary",0,1
"213","actuate",0,1
"214","acuity",0,1
"215","acumen",0,1
"216","acute",0,1
"217","ad",0,1
"218","adage",0,1
"219","adagio",0,1
"220","adamant",0,1
"221","adamantine",0,1
"222","adapt",0,1
"223","adaptability",0,1
"224","adaptation",0,1
"225","addendum",0,1
"226","adder",0,1
"227","addict",0,1
"228","addiction",0,1
"229","addition",0,1
"230","additional",0,1
"231","additive",0,1
"232","addle",0,1
"233","address",0,1
"234","addressee",0,1
"235","adduce",0,1
"236","adept",0,1
"237","adequate",0,1
"238","adhere",0,1
"239","adhesion",0,1
"240","adieu",0,1
"241","adios",0,1
"242","adipose",0,1
"243","adiposity",0,1
"244","adjacent",0,1
"245","adjectival",0,1
"246","adjective",0,1
"247","adjoin",0,1
"248","adjourn",0,1
"249","adjudge",0,1
"250","adjudicate",0,1
"251","adjudication",0,1
"252","adjunct",0,1
"253","adjuration",0,1
"254","adjure",0,1
"255","adjust",0,1
"256","adjutant",0,1
"257","adjuvant",0,1
"258","adman",0,1
"259","administer",0,1
"260","administrative",0,1
"261","administrator",0,1
"262","admirable",0,1
"263","admiral",0,1
"264","admiration",0,1
"265","admire",0,1
"266","admirer",0,1
"267","admissible",0,1
"268","admission",0,1
"269","admit",0,1
"270","admittance",0,1
"271","admix",0,1
"272","admixture",0,1
"273","admonish",0,1
"274","admonition",0,1
"275","admonitory",0,1
"276","ado",0,1
"277","adobe",0,1
"278","adolescence",0,1
"279","adopt",0,1
"280","adoptive",0,1
"281","adorable",0,1
"282","adoration",0,1
"283","adore",0,1
"284","adorn",0,1
"285","adrenal",0,1
"286","adrift",0,1
"287","adroit",0,1
"288","adsorb",0,1
"289","adulation",0,1
"290","adult",0,1
"291","adulterant",0,1
"292","adulterate",0,1
"293","adultery",0,1
"294","adulthood",0,1
"295","adumbrate",0,1
"296","adumbration",0,1
"297","advance",0,1
"298","advantage",0,1
"299","advantageous",0,1
"300","Advent",0,1
"301","adventitious",0,1
"302","adventure",0,1
"303","adverb",0,1
"304","adverbial",0,1
"305","adversary",0,1
"306","adversative",0,1
"307","adverse",0,1
"308","adversity",0,1
"309","advert",0,1
"310","advertise",0,1
"311","advertisement",0,1
"312","advertising",0,1
"313","advice",0,1
"314","advisable",0,1
"315","advise",0,1
"316","advisement",0,1
"317","advisory",0,1
"318","advocate",0,1
"319","adze",0,1
"320","aegis",0,1
"321","aeon",0,1
"322","aerate",0,1
"323","aeration",0,1
"324","aerial",0,1
"325","aerialist",0,1
"326","aerie",0,1
"327","aero",0,1
"328","aerobe",0,1
"329","aerobic",0,1
